Date,"Jurgen Klopp"
2019-05-24,74
2019-05-25,58
2019-05-26,57
2019-05-27,60
2019-05-28,140
2019-05-29,115
2019-05-30,143
2019-05-31,309
2019-06-01,759
2019-06-02,906
2019-06-03,534
2019-06-04,286
2019-06-05,165
2019-06-06,139
2019-06-07,115
2019-06-08,93
2019-06-09,64
2019-06-10,77
2019-06-11,77
2019-06-12,64
2019-06-13,61
2019-06-14,75
2019-06-15,62
2019-06-16,80
2019-06-17,73
2019-06-18,71
2019-06-19,60
2019-06-20,55
2019-06-21,38
2019-06-22,29
2019-06-23,40
2019-06-24,52
2019-06-25,53
2019-06-26,54
2019-06-27,52
2019-06-28,32
2019-06-29,30
2019-06-30,38
2019-07-01,26
2019-07-02,32
2019-07-03,32
2019-07-04,45
2019-07-05,31
2019-07-06,48
2019-07-07,37
2019-07-08,52
2019-07-09,57
2019-07-10,38
2019-07-11,31
2019-07-12,36
2019-07-13,32
2019-07-14,18
2019-07-15,28
2019-07-16,35
2019-07-17,44
2019-07-18,35
2019-07-19,45
2019-07-20,32
2019-07-21,31
2019-07-22,31
2019-07-23,44
2019-07-24,33
2019-07-25,33
2019-07-26,26
2019-07-27,22
2019-07-28,35
2019-07-29,51
2019-07-30,31
2019-07-31,41
2019-08-01,26
2019-08-02,42
2019-08-03,28
2019-08-04,42
2019-08-05,40
2019-08-06,56
2019-08-07,57
2019-08-08,56
2019-08-09,120
2019-08-10,71
2019-08-11,59
2019-08-12,64
2019-08-13,48
2019-08-14,144
2019-08-15,166
2019-08-16,84
2019-08-17,78
2019-08-18,63
2019-08-19,71
2019-08-20,55
2019-08-21,73
2019-08-22,58
2019-08-23,48
2019-08-24,100
2019-08-25,68
2019-08-26,96
2019-08-27,76
2019-08-28,55
2019-08-29,57
2019-08-30,62
2019-08-31,70
2019-09-01,79
2019-09-02,95
2019-09-03,58
2019-09-04,54
2019-09-05,55
2019-09-06,50
2019-09-07,36
2019-09-08,42
2019-09-09,41
2019-09-10,36
2019-09-11,24
2019-09-12,34
2019-09-13,56
2019-09-14,77
2019-09-15,100
2019-09-16,75
2019-09-17,98
2019-09-18,199
2019-09-19,38
2019-09-20,57
